id,name_en,name_zh,estimated_yob,yod,gender,related_organization,uuid,fc_uuid,description_zh,description_en
2461,WONG Kin-ching,黃健菁,,,FEMALE,民主動力,f16f034b-c935-4a69-865c-63c714817607,41118f1e-23c5-42d8-9c73-fddd03d2fd1b,,
2877,WONG Kit-long,黃傑朗,,,MALE,長沙灣西社區陣線,9076ad23-5031-459d-88d6-6fc86112fd2c,c46ddaa3-df52-442a-9b2b-49018a0c142c,,
1439,WONG YUEN SANG,黃元生,1982,,MALE,,dfcdc1b4-c289-410c-96b5-580c45957a78,,,
2658,WONG Siu-kin,黃兆健,1998,,MALE,熱血公民,12b4440b-0a0d-49be-98cc-930b86416916,e626203a-095d-4596-91e7-0b2fbbcd6a40,,
511,WONG SIU MAN,黃兆文,1972,,MALE,,2035e588-85d5-4f8e-b6df-2e116f33e8d6,,,
462,WONG KWONG MO,黃光武,1952,,MALE,,33e75db1-6c83-4118-a72d-bd0469d8fe8b,,,
1130,"WONG Kwong-yee, Paulo",黃光義,1980,,MALE,,da339d7c-b05e-45b3-8e23-f297e26c8b02,,,
646,,黃冠雄,1965,,MALE,,fcf6fe5b-5f4e-42e2-9dd7-919c48d9e720,,,
1648,WONG PING FAN,黃冰芬,1983,,FEMALE,民建聯,a0b142d0-fca0-4a91-8ee8-2e2adfe85ae7,98355ac1-0fb5-4a4a-923b-3df7da25e976,,
2645,WONG Hoi-ying,黃凱盈,,,FEMALE,民主黨,30273bad-8764-455b-ac0a-532d74b0eb4c,99c226b6-f80e-4a02-be30-c26370102560,,
899,WONG SHING TONG,黃勝棠,1963,,MALE,,0cb802d3-b8b3-4a48-8020-e958845e93f2,,,
276,WONG SHING FAI CHRIS,黃勝輝,1970,,MALE,,8daf3c29-863a-4dcf-8278-d4f8ae7ffa89,,,
1636,WONG CHEUK KIN,黃卓健,1983,,MALE,新民黨,aaba64d5-2ca4-4682-b47b-03097b79faab,a71c3e2a-580c-400e-b84a-8353737db5d7,,
2056,WONG HO YAN,黃可欣,1988,,FEMALE,,68bed922-efa9-4ef6-a83e-e154e1c5879d,,,
2672,WONG Heung-yin,黃向賢,1995,,MALE,,27b79af8-fb2f-4fe3-9121-6a58f40915f9,19f59512-21fb-4196-9a97-58c57e6ecbd9,,
2226,WONG CHIT MAN,黃哲民,1958,,MALE,,fc166b0d-38c7-4c5c-9c43-91f82639062b,,,
1279,WONG Kai-ming,黃啟明,1949,,MALE,,396d5c20-fb05-4ae0-a459-2a0984ed2468,286b1438-85f5-469d-a141-d798f4c5b646,,
1674,WONG KAI SAN,黃啟燊,1984,,MALE,,daaeaae0-0f55-4893-9cc5-23b305514f4b,d8d955f9-46e0-40e2-b4e3-82e745e48700,,
453,WONG KA WING,黃嘉榮,1956,,MALE,新民黨,5f650244-adb0-40bd-af51-0e4608792c1a,11e7e751-bef5-4ecb-b987-41271f04cc88,,
1919,WONG KA HO,黃嘉浩,1987,,MALE,,a6b1acd1-a2a5-43de-9521-61e1ecefb674,531bfc88-1cfa-407d-9375-435b90043b3d,,
1577,WONG KA SEK,黃嘉錫,1963,,MALE,,81dc038c-b575-42bb-8999-7590cad62203,,,
